Content,Reactions,Comments,Reposts,Poster,Location
"Mass exodus out of Yellowknife, NWT, CA, peeps. Wildfires creep up to the city and nothing can stop it. Residents are being told to leave. All 20,000 of them and the journey is rather treacherous as the road leading out is not like you drive from, say, Toronto to Montreal. Stay strong Yellowknifers.",8.0,5 comments,5 comments,Abd Aziz Mohamad,
"WILDFIRE UPDATE – August 15, 2023: Another tough day. The situation is evolving quickly. Weather was on our side in the South Slave, with rain keeping the fires from reaching Hay River and Fort Smith and giving our crews a chance to further protect the communities.  Fire has come within 20km of Yellowknife, and the City of Yellowknife has issued an Evacuation Alert for Kam Lake Business District, Grace Lake and the Engle Business District. Residents are urged to remain … See more",51.0,24 comments,24 comments,NWT Fire,
"Wildfire in Yellowknife, Canada",1.0,,,Sivakumar Sukumaran,"Yellowknife, NT"
"A series of devastating wildfires that have engulfed vast swaths of forest in British Columbia and the Northwest Territories continued to grow overnight on Friday, officials said Saturday morning, threatening to destroy the cities of Yellowknife and Kelowna, a city of more than 132,000 people, amid Canada’s worst wildfire season on record.",44.0,3 comments,3 comments,Forbes,
"We have the great honour of producing apparel for the NWT STRONG initiative.  This amazing design by Patrick Kitchen, has gone viral amongst the NWT community. Support your friends and neighbours, and purchase your NWT STRONG gear at the Fireground Store @kitchen.patrick47… See more",163.0,49 comments,49 comments,"Fireground (Ferintosh, AB, Canada)",
"The City of Yellowknife will be live webcasting the Government of the Northwest Territories' Wildfire Update at 7 p.m. today, Friday, August 18, 2023. The GNWT will host an online update on the wildfires and evacuations today. Those looking to watch this can access it from our website here: https://www.yellowknife.ca/.../city-government-webcast....For information, please see trusted sources like the Government of the Northwest Territorie… See more",19.0,1 comment,1 comment,City of Yellowknife,
"Canada's Yellowknife turns 'Ghost Town' as nearly 20,000 residents flee from the site as raging wildfires approach#Canada #Yellowknife #Wildfire #CanadaWildfire #WorldNews",2.0,,,News18,
Wildfire threat to Yellowknife deemed serious as parts of city on evacuation alert. Pray for Yellowknife NT. CANADA,9.0,6 comments,6 comments,MśLj DC,Mark Daniel Sison
Thousands of people in Yellowknife drove hundreds of kilometres to safety.,40.0,6 comments,6 comments,1News,
"Cliff Chapman, wildfire service director, said the agency is already expecting its resources to be wrung out battling the challenging weather crisis.",16.0,,,TheCable,
"Residents of the remote Canadian city of Yellowknife have been ordered to leave  due to the threat of a massive wildfire, while a state of emergency has been declared farther south in Kelowna, British Columbia.",8.0,,,The National,
Residents of Yellowknife are scrambling to leave the northern Canadian city by air and road ahead of a noon Friday evacuation deadline due to looming wildfire threats.,3.0,,,Nationwide90FM,
"The northern Canadian city of Yellowknife is facing an unprecedented crisis as a raging wildfire threatens the lives and homes of its residents. Despite the urgency of the situation, some evacuees have been left stranded due to overwhelmed evacuation flights and skyrocketing airfares. As the city braces for the approaching flames, the question arises: Why are people being turned away from full flights in their time of need?...",2.0,,,My Disa,
"#CanadaWildfire: 20,000 people, residents of Yellowknife evacuating",2.0,,,Etemaad Daily,
They are evacuating the ENTIRE CITY of Yellowknife!,4.0,2 comments,2 comments,Wendy MacLeod,
"UPDATE: ( Aug. 28, 4:30 p.m.)NWT Highway 1 is closed from the NWT/AB border to km 84 due to a wildfire. Residents should be aware that conditions can change… See more",,,,Government of the Northwest Territories,
"A woman living in Yellowknife has twice discovering human caused fires directly behind her home —  in the midst of hot, dry, weather that's contributing to extreme wildfire risk across much of the territory.",12.0,,,CBC North,
"Highway 3 between Yellowknife and Behchokǫ̀ is closed due to a wildfire. In an update shared shortly after 5 p.m. on Saturday, officials say the fire was expected to reach the highway ""imminently"" from the north side between kilometres 283 and 288. Despite the growth, N.W.T. Fire said the city was not at risk.",14.0,,,CBC North,
Bill Fortier reports on residents fleeing Yellowknife unsure if wildfires will overwhelm their city and destroy their homes.#brazil #amazon #climatechange #ukraine #russia #ukrainewar #russiaukrainewar #donetsk #shelling #News #Reuters #newsfeed #greece #italy #heatwave #environment #viral #reel #viralreel #viralvideo #fyp #foryou #foryoupage #bbc #usnews #news #wildfire #canada #Yellowknife,30.0,4 comments,4 comments,YRK News,
Yellowknife residents ordered to leave as wildfire burns nearby,2.0,,,Lac La Biche Post,
YELLOWKNIFE: a new fire was detected to the north of Long Lake.Yellowknife Fire Department has responded joined by wildfire team members to ensure this fire doesn’t become a problem. Its cause is being investigated.,161.0,45 comments,45 comments,NWT Fire,
"After hearing about a ravaging wildfire nearby, Jason Card of Yellowknife decided to immediately step in to rescue the pets that may have been left behind.",109.0,4 comments,4 comments,Upworthy,
TłĮchǫ Government is providing $200 in gift cards (ONE (1) Per Household) to TłĮchǫ Yellowknife households forced to evacuate due to the wildfire. Gift cards can be picked up at the main TG Office in Yellowknife Monday through Friday 9:00 a.m. to 5:00 p.m. (closed between Noon and -1:00 p.m.).,43.0,74 comments,74 comments,Tlicho,
"It's not flashy and it doesn't get into nitty-gritty details, but Yellowknife city officials say their framework for how to respond to an emergency — such as a wildfire potentially threatening the city — gives them flexibility to adapt.",5.0,,,CBC NWT,
"In the wake of an unprecedented wildfire season affecting communities in Canada’s North, PetSmart Charities of Canada’s Disaster Response fund has announced $95,000 in aid in partnership with Veterinarians without Borders and NWTSPCA to provide rescue, relief, and recovery efforts of impacted pets and the people who love them.Learn more: https://www.vetswithoutborders.ca/.../vwb-nwt-spca...#yellowknifewildfire #anima… See more",31.0,1 comment,1 comment,Veterinarians without Borders,
Hi  I am wildfire evacuee from Yellowknife NT. Like to know if have group run in this weekend thank you in advance,7.0,11 comments,11 comments,Edmonton Running Community,
Scramble for Yellowknife flights as wildfire evacuation deadline nears,4.0,2 comments,2 comments,Washington Post World,
Crews near Yellowknife have set up sprinklers as a growing wildfire nears the city's only road connection to the rest of the territory.,47.0,,,The Weather Network,
Wildfire in YellowknifeIf you watch the news you know there have been wildfires all over the world lately. If you're well informed you know that the vast majority of the fires were intentionally set. … See more,3.0,1 comment,1 comment,Tye Chambers,
https://www.washingtonpost.com/.../wildfire.../...,3.0,2 comments,2 comments,Mitch Wagener,
"There will be bus transportation available to Tłı̨chǫ residents living in Yellowknife, impacted by the wildfire - and wishing to go to Behchokǫ̀ or Whatì. All buses will leave from the Yellowknife Multiplex and go directly to Behchokǫ̀. Once in Behchokǫ̀, additional arrangements will be made to transport Tłı̨chǫ travellers going to Whatì. The bus will be at the Multiplex Parking Lot at 6pm today (August 16, 2023). If you need transportation to the Multiplex, please contact … See more",20.0,21 comments,21 comments,Tlicho,
"EVACUATION: Leaving by car and plane... Canada wildfire forces  20,000 Yellowknife residents from their homes.  #YellowKnife #Wildfire #Evacuation",3.0,,,Shon Gables,
"FOUND! We spent an hour and a half on the hunt this morning and I finally got her. Your phone call tips today made all the difference. Thank you, thank you, thank you!Hello, we are visiting family here in Point Roberts and our dog, Athena, has gone missing. She someone managed to get out of the yard. We are evacuees from the Yellowknife wildfire so she’s very far from home and not used to the terrain. I can be reached at 867-445-9735***Please check your exterior cameras i… See more",25.0,41 comments,41 comments,Point Roberts Buy Sell Swap,
Fire in the north country… can’t believe they are evacuating Yellowknife NWT - wildfire in the arctic circle! #yellowknife #fire #wildfire,23.0,9 comments,9 comments,Steve West,
An out-of-control wildfire in the Northwest Territories has destroyed four homes in a community about 100 kilometres northwest of Yellowknife.,35.0,16 comments,16 comments,CTV News,
"Residents in Yellowknife, the capital and only city in the Northwest Territories, were urged to leave as soon as possible as part of a phased evacuation as a wildfire nears.",10.0,2 comments,2 comments,The Irish Times,
